"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"622","J.J. Moser","ARI","D","82","1241.9833333333","3","15","7","8","18","37.50"
"22","Andrew Cogliano","COL","C","79","829.73333333333","10","7","3","4","17","56.67"
"30","Trevor Lewis","CGY","C","82","825.03333333333","6","11","7","4","17","62.96"
"31","Milan Lucic","CGY","L","77","841.51666666667","7","10","8","2","17","54.84"
"71","Justin Schultz","SEA","D","73","1090.05","5","12","4","8","17","34.69"
"81","Tyler Johnson","CHI","C","56","739.5","6","11","6","5","17","70.83"
"106","Marcus Foligno","MIN","L","65","802.75","7","10","6","4","17","65.38"
"110","David Savard","MTL","D","62","1119.0333333333","3","14","5","9","17","45.95"
"112","Ben Chiarot","DET","D","76","1286","3","14","7","7","17","36.96"
"118","Radko Gudas","FLA","D","72","1023.65","2","15","7","8","17","36.17"
"123","Justin Holl","TOR","D","80","1329.5","2","15","2","13","17","27.87"
"252","Tyler Motte","NYR, OTT","C, L","62","626.18333333333","6","11","7","4","17","77.27"
"395","Noel Acciari","STL, TOR","C","77","941.06666666667","10","7","3","4","17","68.00"
"396","Derek Ryan","EDM","C","80","774.03333333333","11","6","3","3","17","54.84"
"465","Trevor Moore","L.A","C, L","59","771.38333333333","6","11","8","3","17","70.83"
"470","Juuso Valimaki","ARI","D","78","1170.7666666667","2","15","6","9","17","32.08"
"479","Mikey Anderson","L.A","D","77","1433.8166666667","4","13","2","11","17","29.31"
"495","Max Comtois","ANA","L","64","794.65","9","8","5","3","17","56.67"
"523","Alexey Toropchenko","STL","R","69","738.96666666667","8","9","5","4","17","60.71"
"23","Marc-Edouard Vlasic","S.J","D","78","1121.7333333333","1","15","3","12","16","35.56"
"24","Kris Letang","PIT","D","64","1226.4833333333","4","12","3","9","16","30.77"
"42","Nick Bonino","PIT, S.J","C","62","716.66666666667","9","7","6","1","16","51.61"
"56","Ryan McDonagh","NSH","D","71","1234.2","2","14","8","6","16","29.09"
"72","Travis Hamonic","OTT","D","75","1110.8666666667","5","11","5","6","16","33.33"
"109","Casey Cizikas","NYI","C","81","972.16666666667","5","11","7","4","16","57.14"
"130","Tyler Pitlick","STL","C","61","594.98333333333","7","9","7","2","16","69.57"
"169","Josh Leivo","STL","L","51","566.98333333333","4","12","9","3","16","59.26"
"228","Adam Pelech","NYI","D","61","1105.2833333333","5","11","6","5","16","34.78"
"238","Brett Kulak","EDM","D","82","1251.7333333333","3","13","2","11","16","28.57"
"310","Nick Ritchie","ARI, CGY","L","74","817.53333333333","9","7","5","2","16","55.17"
"408","Steven Lorentz","S.J","C","80","802.05","8","8","2","6","16","72.73"
"437","Josh Mahura","FLA","D","82","1082.2333333333","4","12","8","4","16","32.00"
"442","Noah Gregor","S.J","C","57","692.5","10","6","5","1","16","64.00"
"450","Filip Hronek","DET, VAN","D","64","1061.7833333333","4","12","4","8","16","34.04"
"463","Tanner Jeannot","NSH, T.B","L","76","881.61666666667","5","11","5","6","16","55.17"
"472","Nicolas Hague","VGK","D","81","1377.6833333333","2","14","9","5","16","27.59"
"560","Jordan Harris","MTL","D","65","1096.7666666667","4","12","5","7","16","34.04"
"561","Kirill Marchenko","CBJ","R","59","763.1","13","3","3","0","16","64.00"
"603","Braden Schneider","NYR","D","81","1188.2333333333","5","11","5","6","16","32.65"
"606","Kaiden Guhle","MTL","D","44","744.13333333333","4","12","9","3","16","53.33"
"3","Jeff Carter","PIT","C","79","833.63333333333","7","8","3","5","15","62.50"
"25","Ryan Reaves","MIN, NYR","R","73","671.25","5","10","5","5","15","71.43"
"86","Jakob Silfverberg","ANA","R","81","855.6","6","9","6","3","15","57.69"
"92","Oliver Ekman-Larsson","VAN","D","54","908.6","2","13","9","4","15","40.54"
"96","Dmitry Kulikov","ANA, PIT","D","67","1068","3","12","8","4","15","37.50"
"107","Craig Smith","BOS, WSH","C","64","673.68333333333","9","6","1","5","15","51.72"
"144","Ryan Johansen","NSH","C","55","633.13333333333","6","9","5","4","15","68.18"
"201","Torey Krug","STL","D","63","949.75","3","12","6","6","15","36.59"
"255","Carson Soucy","SEA","D","78","1105.9","3","12","4","8","15","28.85"
"304","Aaron Ekblad","FLA","D","71","1149.7166666667","4","11","8","3","15","28.85"
"426","Jesse Puljujarvi","CAR, EDM","R","75","854.1","5","10","6","4","15","53.57"
"516","Johnathan Kovacevic","MTL","D","77","1165.7","3","12","6","6","15","28.85"
"518","Emil Bemstrom","CBJ","R","55","586.95","3","12","7","5","15","65.22"
"524","Morgan Barron","WPG","C","70","790","6","9","5","4","15","62.50"
"542","Joe Veleno","DET","C","81","935.21666666667","8","7","4","3","15","50.00"
"589","Arthur Kaliyev","L.A","R","56","527.3","5","10","4","6","15","60.00"
"598","Aliaksei Protas","WSH","C","58","641.66666666667","4","11","5","6","15","65.22"
"599","Juuso Parssinen","NSH","C","45","540.38333333333","3","12","6","6","15","65.22"
"20","Marc Staal","FLA","D","82","1239.15","3","11","4","7","14","22.58"
"39","Jonathan Toews","CHI","C","53","685.8","4","10","6","4","14","70.00"
"43","Ian Cole","T.B","D","78","1242.7833333333","3","11","7","4","14","26.92"
"78","Derek Grant","ANA","C","46","510.96666666667","3","11","7","4","14","73.68"
"150","Jani Hakanpää","DAL","D","82","1274.7166666667","5","9","4","5","14","27.45"
"206","Matt Dumba","MIN","D","79","1453.85","4","10","6","4","14","31.11"
