Player,Cap_Hit
226. Viktor Arvidsson,"$4,250,000"
227. Carter Verhaeghe,"$4,166,667"
228. Damon Severson,"$4,166,666"
229. Anthony Beauvillier,"$4,150,000"
230. Brandon Carlo,"$4,100,000"
231. Devon Toews,"$4,100,000"
232. Brian Dumoulin,"$4,100,000"
233. Marcus Pettersson,"$4,025,175"
234. Brett Pesce,"$4,025,000"
235. Jake Oettinger,"$4,000,000"
236. Noah Dobson,"$4,000,000"
237. Nino Niederreiter,"$4,000,000"
238. Erik Gudbranson,"$4,000,000"
239. Nick Leddy,"$4,000,000"
240. Jack Roslovic,"$4,000,000"
241. Jake DeBrusk,"$4,000,000"
242. Ilya Sorokin,"$4,000,000"
243. Vince Dunn,"$4,000,000"
244. Jake McCabe,"$4,000,000"
245. Adam Larsson,"$4,000,000"
246. Alex Iafallo,"$4,000,000"
247. Carter Hart,"$3,979,000"
248. Kevin Shattenkirk,"$3,900,000"
249. Brenden Dillon,"$3,900,000"
250. Nick Foligno,"$3,800,000"
251. Nikita Zadorov,"$3,750,000"
252. Boone Jenner,"$3,750,000"
253. Matt Grzelcyk,"$3,687,500"
254. Frank Vatrano,"$3,650,000"
255. Ryan Suter,"$3,650,000"
256. Barclay Goodrow,"$3,641,667"
257. Pavel Zacha,"$3,500,000"
258. Dylan Strome,"$3,500,000"
259. Marc-André Fleury,"$3,500,000"
260. David Savard,"$3,500,000"
261. Brandon Montour,"$3,500,000"
262. Tristan Jarry,"$3,500,000"
263. Joel Edmundson,"$3,500,000"
264. J.T. Compher,"$3,500,000"
265. Alexander Kerfoot,"$3,500,000"
266. Brandon Tanev,"$3,500,000"
267. Lars Eller,"$3,500,000"
268. Vitek Vanecek,"$3,400,000"
269. Alexandar Georgiev,"$3,400,000"
270. Joel Armia,"$3,400,000"
271. Kirby Dach,"$3,362,500"
272. Mario Ferraro,"$3,250,000"
273. Pius Suter,"$3,250,000"
274. Cody Ceci,"$3,250,000"
275. Adam Lowry,"$3,250,000"
276. MacKenzie Weegar,"$3,250,000"
277. Radek Faksa,"$3,250,000"
278. Miles Wood,"$3,200,000"
279. Kasperi Kapanen,"$3,200,000"
280. Zack Kassian,"$3,200,000"
281. Ryan Graves,"$3,166,667"
282. Nicholas Paul,"$3,150,000"
283. Matt Roy,"$3,150,000"
284. Roope Hintz,"$3,150,000"
285. Jeff Carter,"$3,125,000"
286. Kailer Yamamoto,"$3,100,000"
287. Marcus Foligno,"$3,100,000"
288. Craig Smith,"$3,100,000"
289. Martin Necas,"$3,000,000"
290. Nicolas Roy,"$3,000,000"
291. Jesse Puljujärvi,"$3,000,000"
