"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"546","Morgan Frost","PHI","C","55","634.2","4","10","7","3","14","70.00"
"548","Max Comtois","ANA","L","52","626.11666666667","6","8","3","5","14","56.00"
"554","Ryan Poehling","MTL","C","57","586.33333333333","6","8","5","3","14","82.35"
"557","Alexandre Texier","CBJ","C","36","440.2","7","7","6","1","14","70.00"
"575","Martin Fehervary","WSH","D","79","1360.5833333333","6","8","5","3","14","22.95"
"586","Filip Zadina","DET","R","74","878.23333333333","6","8","4","4","14","42.42"
"604","Nico Sturm","COL, MIN","C","74","739.48333333333","5","9","4","5","14","53.85"
"636","Jamie Drysdale","ANA","D","81","1361.6166666667","3","11","7","4","14","26.42"
"2","Jason Spezza","TOR","C","71","633.31666666667","7","6","4","2","13","61.90"
"29","Marc Staal","DET","D","71","1045.9","2","11","6","5","13","23.21"
"30","T.J. Oshie","WSH","R","44","561.65","6","7","3","4","13","65.00"
"149","Radko Gudas","FLA","D","77","1189.7","2","11","6","5","13","21.67"
"165","Derek Forbort","BOS","D","76","1099.6833333333","4","9","2","7","13","31.71"
"171","Riley Sheahan","SEA","C","69","668.33333333333","4","9","5","4","13","50.00"
"203","Scott Mayfield","NYI","D","61","1020.65","3","10","6","4","13","39.39"
"244","Zemgus Girgensons","BUF","L","56","668.8","7","6","5","1","13","68.42"
"261","Chris Tierney","OTT","C","70","745.15","3","10","1","9","13","59.09"
"276","Ben Hutton","VGK","D","58","839.76666666667","3","10","6","4","13","35.14"
"283","Chad Ruhwedel","PIT","D","78","1047.1","4","9","3","6","13","27.66"
"284","Michael Raffl","DAL","L","76","930.58333333333","6","7","6","1","13","81.25"
"289","Tyler Motte","NYR, VAN","C","58","681.21666666667","5","8","5","3","13","48.15"
"326","Rasmus Ristolainen","PHI","D","66","1200.8166666667","2","11","5","6","13","24.07"
"332","Ryan Pulock","NYI","D","56","960","2","11","5","6","13","28.89"
"366","Brendan Lemieux","L.A","L","50","524.31666666667","8","5","3","2","13","56.52"
"408","Erik Cernak","T.B","D","55","856.38333333333","1","12","7","5","13","34.21"
"410","Jansen Harkins","WPG","C","77","708.5","7","6","3","3","13","76.47"
"422","Ethan Bear","CAR","D","58","823.76666666667","5","8","5","3","13","35.14"
